load_size,trial,model,is_correct,confidence_score,expected,answer,had_error
300,1,gpt-4o-mini,True,1.0,Gold,Gold,False
300,1,gemini-2.0-flash,True,1.0,Gold,Gold,False
300,2,gpt-4o-mini,True,1.0,Blue,Blue,False
300,2,gemini-2.0-flash,True,1.0,Blue,Blue,False
300,3,gpt-4o-mini,True,1.0,compressed time,compressed time,False
300,3,gemini-2.0-flash,True,1.0,compressed time,compressed time,False
300,4,gpt-4o-mini,True,1.0,the Northern Lights,the Northern Lights,False
300,4,gemini-2.0-flash,True,1.0,the Northern Lights,the Northern Lights,False
300,5,gpt-4o-mini,True,1.0,Red,Red,False
300,5,gemini-2.0-flash,True,1.0,Red,Red,False
350,1,gpt-4o-mini,True,1.0,a hexagon,a hexagon,False
350,1,gemini-2.0-flash,True,1.0,a hexagon,a hexagon,False
350,2,gpt-4o-mini,True,1.0,compressed time,compressed time,False
350,2,gemini-2.0-flash,True,1.0,compressed time,compressed time,False
350,3,gpt-4o-mini,True,1.0,frozen lightning,frozen lightning,False
350,3,gemini-2.0-flash,True,1.0,frozen lightning,frozen lightning,False
350,4,gpt-4o-mini,True,1.0,Orange,Orange,False
350,4,gemini-2.0-flash,True,1.0,Orange,Orange,False
350,5,gpt-4o-mini,True,1.0,ancient Egypt,ancient Egypt,False
350,5,gemini-2.0-flash,True,1.0,ancient Egypt,ancient Egypt,False
400,1,gpt-4o-mini,True,1.0,Dr. Wigglesworth,Dr. Wigglesworth,False
400,1,gemini-2.0-flash,True,1.0,Dr. Wigglesworth,Dr. Wigglesworth,False
400,2,gpt-4o-mini,True,1.0,Purple,Purple,False
400,2,gemini-2.0-flash,True,1.0,Purple,Purple,False
400,3,gpt-4o-mini,True,1.0,Gold,Gold,False
400,3,gemini-2.0-flash,True,1.0,Gold,Gold,False
400,4,gpt-4o-mini,True,1.0,frozen lightning,frozen lightning,False
400,4,gemini-2.0-flash,True,1.0,frozen lightning,frozen lightning,False
400,5,gpt-4o-mini,True,1.0,Gold,Gold,False
400,5,gemini-2.0-flash,True,1.0,Gold,Gold,False
450,1,gpt-4o-mini,True,1.0,Red,Red,False
450,1,gemini-2.0-flash,True,1.0,Red,Red,False
450,2,gpt-4o-mini,True,1.0,Yellow,Yellow,False
450,2,gemini-2.0-flash,True,1.0,Yellow,Yellow,False
450,3,gpt-4o-mini,True,1.0,Red,Red,False
450,3,gemini-2.0-flash,True,1.0,Red,Red,False
450,4,gpt-4o-mini,True,1.0,Blue,Blue,False
450,4,gemini-2.0-flash,True,1.0,Blue,Blue,False
450,5,gpt-4o-mini,False,1.0,frozen lightning,a hexagon,False
450,5,gemini-2.0-flash,True,1.0,frozen lightning,frozen lightning,False
500,1,gpt-4o-mini,True,1.0,a spiral,a spiral,False
500,1,gemini-2.0-flash,True,1.0,a spiral,a spiral,False
500,2,gpt-4o-mini,True,1.0,a spiral,a spiral,False
500,2,gemini-2.0-flash,True,1.0,a spiral,a spiral,False
500,3,gpt-4o-mini,True,1.0,ancient Egypt,ancient Egypt,False
500,3,gemini-2.0-flash,True,1.0,ancient Egypt,ancient Egypt,False
500,4,gpt-4o-mini,True,1.0,crystallized starlight,crystallized starlight,False
500,4,gemini-2.0-flash,True,1.0,crystallized starlight,crystallized starlight,False
500,5,gpt-4o-mini,True,1.0,Dr. Wigglesworth,Dr. Wigglesworth,False
500,5,gemini-2.0-flash,True,1.0,Dr. Wigglesworth,Dr. Wigglesworth,False
